id;name;description;category;assigned_to_member;due_date;status;status_tlm;when_created
1;Sleek Tuna magenta;Wells;Naira iterate;73710;2019-10-17T09:18:15;OPEN;2019-10-16T23:27:33;2019-10-17T07:49:58
2;B2B Mouse;Junctions one-to-one;analyzing holistic;25994;2019-10-16T10:43:34;COMPLETED;2019-10-17T02:57:59;2019-10-17T00:31:34
3;Credit Card Account clear-thinking Frozen;parsing;models New Mexico District;8274;2019-10-16T12:00:35;COMPLETED;2019-10-16T14:56:30;2019-10-16T22:51:58
4;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;7535;2019-10-16T13:38:30;DELETED;2019-10-16T21:03:53;2019-10-16T20:21:05
5;capacitor program enhance;Falls;User-friendly;27473;2019-10-16T19:50:49;OPEN;2019-10-16T18:16:27;2019-10-16T16:13:37
6;Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;solution connecting;96797;2019-10-16T20:55:57;DRAFT;2019-10-17T00:42:41;2019-10-16T20:14:10
7;Burg;transmit Credit Card Account;digital Corporate Checking Account;98046;2019-10-17T01:58:51;COMPLETED;2019-10-16T23:53:44;2019-10-17T08:12:39
8;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;76891;2019-10-17T04:11:49;COMPLETED;2019-10-16T10:52:28;2019-10-16T19:29:44
9;frictionless orchid;Future-proofed Awesome;Creek;58476;2019-10-17T06:44:57;DRAFT;2019-10-17T06:01:47;2019-10-16T17:40:44
10;e-business RSS;Rand Soap;Automated;82179;2019-10-17T06:20:26;COMPLETED;2019-10-17T08:15:58;2019-10-16T21:13:33
